
# Curve 0 of 1, 100 points
# Curve title: "'aa' u 1:2:(2000.0)"
# x y type
 2.16007  0.231828  i
 2.17855  0.237516  i
 2.19704  0.243419  i
 2.21553  0.249774  i
 2.23401  0.256866  i
 2.2525  0.264945  i
 2.27099  0.274136  i
 2.28947  0.284496  i
 2.30796  0.296083  i
 2.32645  0.30901  i
 2.34494  0.323409  i
 2.36342  0.339418  i
 2.38191  0.357136  i
 2.4004  0.376533  i
 2.41888  0.397433  i
 2.43737  0.419619  i
 2.45586  0.442912  i
 2.47434  0.467201  i
 2.49283  0.492532  i
 2.51132  0.519201  i
 2.5298  0.547428  i
 2.54829  0.577149  i
 2.56678  0.6082  i
 2.58526  0.640525  i
 2.60375  0.67405  i
 2.62224  0.708492  i
 2.64072  0.74335  i
 2.65921  0.778021  i
 2.6777  0.811843  i
 2.69619  0.8442  i
 2.71467  0.874495  i
 2.73316  0.90205  i
 2.75165  0.92608  i
 2.77013  0.945923  i
 2.78862  0.961179  i
 2.80711  0.971529  i
 2.82559  0.976689  i
 2.84408  0.976446  i
 2.86257  0.970671  i
 2.88105  0.959354  i
 2.89954  0.942648  i
 2.91803  0.920968  i
 2.93651  0.894819  i
 2.955  0.864569  i
 2.97349  0.830192  i
 2.99197  0.791331  i
 3.01046  0.747602  i
 3.02895  0.699  i
 3.04744  0.646193  i
 3.06592  0.5908  i
 3.08441  0.535405  i
 3.1029  0.482665  i
 3.12138  0.43471  i
 3.13987  0.392946  i
 3.15836  0.358089  i
 3.17684  0.330131  i
 3.19533  0.308457  i
 3.21382  0.292209  i
 3.2323  0.280422  i
 3.25079  0.272101  i
 3.26928  0.266296  i
 3.28776  0.262204  i
 3.30625  0.259176  i
 3.32474  0.256693  i
 3.34322  0.25428  i
 3.36171  0.251514  i
 3.3802  0.248063  i
 3.39869  0.243684  i
 3.41717  0.238286  i
 3.43566  0.23189  i
 3.45415  0.224625  i
 3.47263  0.216733  i
 3.49112  0.208471  i
 3.50961  0.200057  i
 3.52809  0.191667  i
 3.54658  0.183415  i
 3.56507  0.175392  i
 3.58355  0.167658  i
 3.60204  0.160258  i
 3.62053  0.153228  i
 3.63901  0.146589  i
 3.6575  0.140342  i
 3.67599  0.134478  i
 3.69447  0.128977  i
 3.71296  0.123815  i
 3.73145  0.118968  i
 3.74994  0.114432  i
 3.76842  0.110206  i
 3.78691  0.106289  i
 3.8054  0.102674  i
 3.82388  0.0993426  i
 3.84237  0.0962897  i
 3.86086  0.0935207  i
 3.87934  0.0910279  i
 3.89783  0.0887872  i
 3.91632  0.0867685  i
 3.9348  0.0849517  i
 3.95329  0.0833125  i
 3.97178  0.0817978  i
 3.99026  0.0803461  i
