[200~w	PL(all)
1.146078464	0.0004463271
1.157762938	0.0005036382
1.169447412	0.0005736063
1.181131886	0.0006601039
1.192816361	0.0007684691
1.204500835	0.0009061156
1.216185309	0.0010833363
1.227869783	0.0013142481
1.239554257	0.0016173653
1.251238731	0.0020142276
1.262923205	0.0025217125
1.274607679	0.0031292294
1.286292154	0.0037545802
1.297976628	0.0042108881
1.309661102	0.0042864698
1.321345576	0.0039412715
1.33303005	0.0033522172
1.344714524	0.0027313569
1.356398998	0.0021942849
1.368083472	0.0017692009
1.379767947	0.0014446447
1.391452421	0.0011992455
1.403136895	0.0010132008
1.414821369	0.0008710104
1.426505843	0.0007612553
1.438190317	0.0006757043
1.449874791	0.0006084556
1.461559265	0.0005552382
1.47324374	0.0005129433
1.484928214	0.0004792870
1.496612688	0.0004525672
1.508297162	0.0004315063
1.519981636	0.0004151445
1.53166611	0.0004027453
1.543350584	0.0003937527
1.555035058	0.0003877414
1.566719533	0.0003843924
1.578404007	0.0003834720
1.590088481	0.0003848140
1.601772955	0.0003883101
1.613457429	0.0003939063
1.625141903	0.0004015945
1.636826377	0.0004114107
1.648510851	0.0004234373
1.660195326	0.0004378033
1.6718798	0.0004546931
1.683564274	0.0004743488
1.695248748	0.0004970846
1.706933222	0.0005232962
1.718617696	0.0005534908
1.73030217	0.0005883019
1.741986644	0.0006285383
1.753671119	0.0006752242
1.765355593	0.0007296793
1.777040067	0.0007936169
1.788724541	0.0008692753
1.800409015	0.0009596284
1.812093489	0.0010686623
1.823777963	0.0012017829
1.835462437	0.0013663772
1.847146912	0.0015725411
1.858831386	0.0018339039
1.87051586	0.0021679834
1.882200334	0.0025946018
1.893884808	0.0031283758
1.905569282	0.0037587007
1.917253756	0.0044185707
1.92893823	0.0049824505
1.940622705	0.0053592536
1.952307179	0.0056063738
1.963991653	0.0058746888
1.975676127	0.0062438794
1.987360601	0.0066440081
1.999045075	0.0069286843
2.010729549	0.0070450662
2.022414023	0.0070712955
2.034098497	0.0070430098
2.045782972	0.0068500021
2.057467446	0.0063696067
2.06915192	0.0056475147
2.080836394	0.0048626635
2.092520868	0.0041668738
2.104205342	0.0036207569
2.115889816	0.0032243053
2.12757429	0.0029562010
2.139258765	0.0027940632
2.150943239	0.0027211215
2.162627713	0.0027274907
2.174312187	0.0028099009
2.185996661	0.0029714769
2.197681135	0.0032220825
2.209365609	0.0035791643
2.221050083	0.0040688989
2.232734558	0.0047262477
2.244419032	0.0055897503
2.256103506	0.0066826260
2.26778798	0.0079662487
2.279472454	0.0092751005
2.291156928	0.0103144953
2.302841402	0.0108435464
2.314525876	0.0109312331
2.326210351	0.0109365668
2.337894825	0.0112361627
2.349579299	0.0120488799
2.361263773	0.0134242211
2.372948247	0.0152654606
2.384632721	0.0173214854
2.396317195	0.0190875242
2.408001669	0.0197695177
2.419686144	0.0187887427
2.431370618	0.0164360310
2.443055092	0.0135852199
2.454739566	0.0109316233
2.46642404	0.0087490223
2.478108514	0.0070476211
2.489792988	0.0057445644
2.501477462	0.0047463628
2.513161937	0.0039750010
2.524846411	0.0033716268
2.536530885	0.0028932682
2.548215359	0.0025089349
2.559899833	0.0021962023
2.571584307	0.0019387090
